width	height
11.15	7.98
num	orient	pos_x	pos_y
1	south	5.62	0.56
2	east	0.94	2.27
3	east	1.04	3.05
4	east	1.09	3.66
5	east	1.16	4.44
6	east	1.24	4.99
7	east	1.32	5.79
8	east	1.38	6.54
21	west	9.75	6.55
22	west	9.83	5.79
23	west	9.91	5.03
24	west	9.97	4.42
25	west	10.06	3.66
26	west	10.11	3.07
27	west	10.18	2.28
28	west	9.08	1.98
29	west	9.01	2.72
30	west	8.94	3.31
31	west	8.87	4.10
32	west	8.81	4.67
33	west	8.74	5.46
43	east	2.45	5.47
44	east	2.35	4.69
45	east	2.30	4.13
46	east	2.21	3.35
47	east	2.17	2.75
48	east	2.08	2.00
49	east	3.19	1.56
50	east	3.25	2.35
51	east	3.33	2.89
52	east	3.41	3.68
53	east	3.49	4.41
60	west	7.67	4.41
61	west	7.74	3.69
62	west	7.84	2.93
63	west	7.88	2.35
64	west	7.95	1.59
