width	height		
11.15	8		
num	orient	pos_x	pos_y
1	north	5.42	0.88
2	east	0.94	2.27
3	east	1.01	3.05
4	east	1.08	3.65
5	east	1.15	4.43
6	east	1.22	5.03
7	east	1.29	5.81
8	east	1.36	6.59
9	south	1.73	7.26
10	south	2.51	7.26
11	south	3.11	7.26
12	south	3.89	7.26
13	south	4.49	7.26
14	south	5.27	7.26
15	south	5.87	7.26
16	south	6.65	7.26
17	south	7.25	7.26
18	south	8.03	7.26
19	south	8.63	7.26
20	south	9.41	7.26
21	west	9.78	6.59
22	west	9.85	5.81
23	west	9.92	5.03
24	west	9.99	4.43
25	west	10.06	3.65
26	west	10.13	3.05
27	west	10.2	2.27
28	west	9.06	1.86
29	west	8.99	2.64
30	west	8.92	3.24
31	west	8.85	4.02
32	west	8.78	4.62
33	west	8.71	5.4
34	south	8.33	6.06
35	south	7.55	6.06
36	south	6.95	6.06
37	south	6.17	6.06
38	south	5.57	6.06
39	south	4.79	6.06
40	south	4.19	6.06
41	south	3.41	6.06
42	south	2.63	6.06
43	east	2.25	5.4
44	east	2.18	4.62
45	east	2.11	4.02
46	east	2.04	3.24
47	east	1.97	2.64
48	east	1.9	1.86
49	east	3.04	1.45
50	east	3.11	2.23
51	east	3.18	2.83
52	east	3.25	3.61
53	east	3.32	4.39
54	south	3.65	4.94
55	south	4.43	4.94
56	south	5.03	4.94
57	south	5.81	4.94
58	south	6.41	4.94
59	south	7.19	4.94
60	west	7.52	4.39
61	west	7.59	3.61
62	west	7.66	2.83
63	west	7.73	2.23
64	west	7.8	1.45
65	south	4.67	3.5
66	south	5.42	3.5
67	south	6.17	3.5
68	south	4.67	2.07
69	south	5.42	2.07
70	south	6.17	2.07
