width	height		
7	9.05		
num	orient	pos_x	pos_y
1	north	2.03	0.72
2	south	0.4	2.65
3	south	0.99	2.65
4	south	1.77	2.65
5	south	2.36	2.65
6	south	4.2	2.65
7	south	4.79	2.65
8	south	0.4	4.09
9	south	0.99	4.09
10	south	1.77	4.09
11	south	2.36	4.09
12	south	4.2	4.09
13	south	4.79	4.09
14	south	0.4	5.53
15	south	0.99	5.53
16	south	1.77	5.53
17	south	2.36	5.53
18	south	4.2	5.53
19	south	4.79	5.53
20	south	0.4	6.97
21	south	0.99	6.97
22	south	1.77	6.97
23	south	2.36	6.97
24	south	4.2	6.97
25	south	4.79	6.97
26	south	0.4	8.41
27	south	0.99	8.41
28	south	1.77	8.41
29	south	2.36	8.41
30	south	4.2	8.41
31	south	4.79	8.41
