width	height		
18.19	8.24		
num	orient	pos_x	pos_y
1	north	8.98	1.11
2	south	2.15	2.94
3	south	2.9	2.94
4	south	3.65	2.94
5	south	4.4	2.94
6	south	5.92	2.94
7	south	6.67	2.94
8	south	7.42	2.94
9	south	8.17	2.94
10	south	8.92	2.94
11	south	9.67	2.94
12	south	10.42	2.94
13	south	11.17	2.94
14	south	11.92	2.94
15	south	12.67	2.94
16	south	14.19	2.94
17	south	14.94	2.94
18	south	15.69	2.94
19	south	16.44	2.94
20	south	2.15	4.55
21	south	2.9	4.55
22	south	3.65	4.55
23	south	4.4	4.55
24	south	5.92	4.55
25	south	6.67	4.55
26	south	7.42	4.55
27	south	8.17	4.55
28	south	8.92	4.55
29	south	9.67	4.55
30	south	10.42	4.55
31	south	11.17	4.55
32	south	11.92	4.55
33	south	12.67	4.55
34	south	14.19	4.55
35	south	14.94	4.55
36	south	15.69	4.55
37	south	16.44	4.55
38	south	2.15	6.16
39	south	2.9	6.16
40	south	3.65	6.16
41	south	4.4	6.16
42	south	5.92	6.16
43	south	6.67	6.16
44	south	7.42	6.16
45	south	8.17	6.16
46	south	8.92	6.16
47	south	9.67	6.16
48	south	10.42	6.16
49	south	11.17	6.16
50	south	11.92	6.16
51	south	12.67	6.16
52	south	14.19	6.16
53	south	14.94	6.16
54	south	15.69	6.16
55	south	16.44	6.16
