width	height		
48	33		
num	orient	pos_x	pos_y
1	north	23.42	0.58
2	east	0.94	2.27
3	east	1.01	3.05
4	east	1.08	3.65
5	east	1.15	4.43
6	east	1.22	5.03
7	east	1.29	5.81
8	east	1.36	6.59
9	south	1.73	7.26
10	south	2.51	7.26
11	south	3.11	7.26
12	south	3.89	7.26
13	south	4.49	7.26
14	south	5.27	7.26
15	south	5.87	7.26
16	south	6.65	7.26
17	south	7.25	7.26
18	south	8.03	7.26
19	south	8.63	7.26
20	south	9.41	7.26
21	west	9.78	6.59
22	west	9.85	5.81
23	west	9.92	5.03
24	west	9.99	4.43
25	west	10.06	3.65
26	west	10.13	3.05
27	west	10.2	2.27
28	west	9.06	1.86
29	west	8.99	2.64
30	west	8.92	3.24
31	west	8.85	4.02
32	west	8.78	4.62
33	west	8.71	5.4
34	south	8.33	6.06
35	south	7.55	6.06
36	south	6.95	6.06
37	south	6.17	6.06
38	south	5.57	6.06
39	south	4.79	6.06
40	south	4.19	6.06
41	south	3.41	6.06
42	south	2.63	6.06
43	east	2.25	5.4
44	east	2.18	4.62
45	east	2.11	4.02
46	east	2.04	3.24
47	east	1.97	2.64
48	east	1.9	1.86
49	east	3.04	1.45
50	east	3.11	2.23
51	east	3.18	2.83
52	east	3.25	3.61
53	east	3.32	4.39
54	south	3.65	4.94
55	south	4.43	4.94
56	south	5.03	4.94
57	south	5.81	4.94
58	south	6.41	4.94
59	south	7.19	4.94
60	west	7.52	4.39
61	west	7.59	3.61
62	west	7.66	2.83
63	west	7.73	2.23
64	west	7.8	1.45
65	south	4.67	3.5
66	south	5.42	3.5
67	south	6.17	3.5
68	south	4.67	2.07
69	south	5.42	2.07
70	south	6.17	2.07
71	east	12.94	2.27
72	east	13.01	3.05
73	east	13.08	3.65
74	east	13.15	4.43
75	east	13.22	5.03
76	east	13.29	5.81
77	east	13.36	6.59
78	south	13.73	7.26
79	south	14.51	7.26
80	south	15.11	7.26
81	south	15.89	7.26
82	south	16.49	7.26
83	south	17.27	7.26
84	south	17.87	7.26
85	south	18.65	7.26
86	south	19.25	7.26
87	south	20.03	7.26
88	south	20.63	7.26
89	south	21.41	7.26
90	west	21.78	6.59
91	west	21.85	5.81
92	west	21.92	5.03
93	west	21.99	4.43
94	west	22.06	3.65
95	west	22.13	3.05
96	west	22.2	2.27
97	west	21.06	1.86
98	west	20.99	2.64
99	west	20.92	3.24
100	west	20.85	4.02
101	west	20.78	4.62
102	west	20.71	5.4
103	south	20.33	6.06
104	south	19.55	6.06
105	south	18.95	6.06
106	south	18.17	6.06
107	south	17.57	6.06
108	south	16.79	6.06
109	south	16.19	6.06
110	south	15.41	6.06
111	south	14.63	6.06
112	east	14.25	5.4
113	east	14.18	4.62
114	east	14.11	4.02
115	east	14.04	3.24
116	east	13.97	2.64
117	east	13.9	1.86
118	east	15.04	1.45
119	east	15.11	2.23
120	east	15.18	2.83
121	east	15.25	3.61
122	east	15.32	4.39
123	south	15.65	4.94
124	south	16.43	4.94
125	south	17.03	4.94
126	south	17.81	4.94
127	south	18.41	4.94
128	south	19.19	4.94
129	west	19.52	4.39
130	west	19.59	3.61
131	west	19.66	2.83
132	west	19.73	2.23
133	west	19.8	1.45
134	south	16.67	3.5
135	south	17.42	3.5
136	south	18.17	3.5
137	south	16.67	2.07
138	south	17.42	2.07
139	south	18.17	2.07
140	east	24.94	2.27
141	east	25.01	3.05
142	east	25.08	3.65
143	east	25.15	4.43
144	east	25.22	5.03
145	east	25.29	5.81
146	east	25.36	6.59
147	south	25.73	7.26
148	south	26.51	7.26
149	south	27.11	7.26
150	south	27.89	7.26
151	south	28.49	7.26
152	south	29.27	7.26
153	south	29.87	7.26
154	south	30.65	7.26
155	south	31.25	7.26
156	south	32.03	7.26
157	south	32.63	7.26
158	south	33.41	7.26
159	west	33.78	6.59
160	west	33.85	5.81
161	west	33.92	5.03
162	west	33.99	4.43
163	west	34.06	3.65
164	west	34.13	3.05
165	west	34.2	2.27
166	west	33.06	1.86
167	west	32.99	2.64
168	west	32.92	3.24
169	west	32.85	4.02
170	west	32.78	4.62
171	west	32.71	5.4
172	south	32.33	6.06
173	south	31.55	6.06
174	south	30.95	6.06
175	south	30.17	6.06
176	south	29.57	6.06
177	south	28.79	6.06
178	south	28.19	6.06
179	south	27.41	6.06
180	south	26.63	6.06
