width	height		
8.25	9.5		
num	orient	pos_x	pos_y
1	south	6.5	1.5
2	est	1.5	3
3	est	1.5	4.5
4	est	1.5	6
5	est	1.5	7.5
6	est	1.5	9
7	est	1.5	10.5
8	est	1.5	12
9	est	1.5	13.5
10	est	1.5	15
11	south	3	16.5
12	south	4	16.5
13	south	5	16.5
14	south	6	16.5
15	south	7	16.5
16	south	8	16.5
17	south	9	16.5
18	south	10	16.5
19	west	11.5	15
20	west	11.5	13.5
21	west	11.5	12
22	west	11.5	10.5
23	west	11.5	9
24	west	11.5	7.5
25	west	11.5	6
26	west	11.5	4.5
27	west	11.5	3
28	est	3	3
29	est	3	4.5
30	est	3	6
31	est	3	7.5
32	est	3	9
33	est	3	10.5
34	est	3	12
35	est	3	13.5
36	south	4	15
37	south	5	15
38	south	6	15
39	south	7	15
40	south	8	15
41	south	9	15
42	west	10	13.5
43	west	10	12
44	west	10	10.5
45	west	10	9
46	west	10	7.5
47	west	10	6
48	west	10	4.5
49	west	10	3
50	south	5	6
51	south	6.5	6
52	south	8	6
53	south	5	9
54	south	6.5	9
55	south	8	9
