width	height		
11	12		
num	orient	pos_x	pos_y
1	south	5.5	1
2	est	1	2
3	est	1	3
4	est	1	4
5	est	1	5
6	est	1	6
7	est	1	7
8	est	1	8
9	est	1	9
10	est	1	10
11	south	2	11
12	south	3	11
13	south	4	11
14	south	5	11
15	south	6	11
16	south	7	11
17	south	8	11
18	south	9	11
19	west	10	10
20	west	10	9
21	west	10	8
22	west	10	7
23	west	10	6
24	west	10	5
25	west	10	4
26	west	10	3
27	west	10	2
28	est	2	2
29	est	2	3
30	est	2	4
31	est	2	5
32	est	2	6
33	est	2	7
34	est	2	8
35	est	2	9
36	south	3	10
37	south	4	10
38	south	5	10
39	south	6	10
40	south	7	10
41	south	8	10
42	west	9	9
43	west	9	8
44	west	9	7
45	west	9	6
46	west	9	5
47	west	9	4
48	west	9	3
49	west	9	2
50	south	4	4
51	south	5.5	4
52	south	7	4
53	south	4	6
54	south	5.5	6
55	south	7	6
